"Biomass_SmallSize_Herbivores_Mean","Biomass_SmallSize_Herbivores_Min","Biomass_SmallSize_Herbivores_Max","Biomass_MediumSize_Herbivores_Mean","Biomass_MediumSize_Herbivores_Min","Biomass_MediumSize_Herbivores_Max","Biomass_MediumLarge_Herbivores_Mean","Biomass_MediumLarge_Herbivores_Min","Biomass_MediumLarge_Herbivores_Max","Biomass_Large_Herbivores_Mean","Biomass_Large_Herbivores_Min","Biomass_Large_Herbivores_Max","Phase","SI","Region","MacroRegion"
44.8805986345372,36.0713821263103,55.8411686788466,144.373941182676,116.036054774772,179.632399025259,189.139105985527,152.01466055719,235.329943058657,100.423361465105,80.7121463622545,124.948374965621,"GI-12","Interstadial","ThermoMediterranean","Mediterranean"
43.5987993974479,35.066754384775,54.2067648474534,140.250591376884,112.804322781891,174.374774800061,183.737253756902,147.780884746187,228.442118722661,97.5552493625877,78.4642241442912,121.291286340835,"GS-12","Stadial","ThermoMediterranean","Mediterranean"
56.7348680104508,45.0756771198374,71.4098035533822,182.507291487961,145.001478484307,229.71428839518,239.096236239724,189.961220026544,300.940424450916,126.948087397035,100.859862711509,159.784243806296,"GI-11","Interstadial","ThermoMediterranean","Mediterranean"
57.2229879728085,45.4361680557956,72.0674848397236,184.07749787735,146.161122044518,231.829947326657,241.153307136791,191.480427332539,303.712073098809,128.040288680208,101.666485454254,161.255849969238,"GS-11","Stadial","ThermoMediterranean","Mediterranean"
54.3406880049529,43.2964074533647,68.2022030588164,174.805584875062,139.277843283556,219.395933934026,229.006507502019,182.46289147785,287.422719510277,121.590948423412,96.8786270262397,152.607021716982,"GI-10","Interstadial","ThermoMediterranean","Mediterranean"
54.454023970673,43.3810578524378,68.3533522092753,175.170169139679,139.550150518947,219.882157362903,229.484136229899,182.81963138973,288.05970333086,121.84454527815,97.0680379940724,152.945228118712,"GS-10","Stadial","ThermoMediterranean","Mediterranean"
52.90160935456,42.2178164817947,66.2890813765624,170.176291533391,135.808183024395,213.241717510172,222.941836850128,177.917414405496,279.360301992865,118.370913043271,94.465207100784,148.32628313352,"GI-9","Interstadial","ThermoMediterranean","Mediterranean"
55.1070165104292,43.8679490658898,69.225558371089,177.270745098908,141.116404213236,222.687909624148,232.236025218511,184.87152400316,291.735418421558,123.305660054892,98.1574898688308,154.896848135485,"GS-9","Stadial","ThermoMediterranean","Mediterranean"
52.1722375107681,41.6684617494613,65.3238025259042,167.830015171675,134.040993855191,210.13656481057,219.868064604148,175.602283455739,275.292353159853,116.738894430773,93.2359888965679,146.166406708439,"GI-8","Interstadial","ThermoMediterranean","Mediterranean"
53.1547591653807,42.4080600194473,66.6247977538693,170.990635303523,136.420167047582,214.321665148707,224.008679324511,178.719152656007,280.775102539212,118.937352790741,94.8908898262675,149.077471133096,"GS-8","Stadial","ThermoMediterranean","Mediterranean"
52.8173030861258,42.1544112927298,66.1773565266891,169.905091313016,135.60421834221,212.882315955937,222.586547198792,177.65020761371,278.889462947391,118.182272090914,94.3233337208837,148.076291258973,"GI-7","Interstadial","ThermoMediterranean","Mediterranean"
49.394240179359,39.5590347698916,61.674683851314,158.893627611508,127.255293665283,198.397914682841,208.160824779398,166.712581776258,259.913969966543,110.52293834621,88.5160039922099,138.00125796184,"GS-7","Stadial","ThermoMediterranean","Mediterranean"
50.5834384942011,40.4653883778604,63.2314269667691,162.719094579086,130.170892976984,203.405716401739,213.172431419057,170.532203535626,266.474510825276,113.183849649946,90.5440312190617,141.484575505455,"GI-6","Interstadial","ThermoMediterranean","Mediterranean"
47.4758038276943,38.0860203617119,59.1805583171831,152.722314718529,122.516834241881,190.374698769456,200.076009792889,160.504896568322,249.403043461695,106.23030783208,85.2200350689676,132.4204841381,"GS-6","Stadial","ThermoMediterranean","Mediterranean"
57.8852885811248,45.9240990378929,72.9618371251085,186.208016452847,147.73072051365,234.706940240638,243.944422869686,193.53670181515,307.481118005524,129.522230887109,102.758263881369,163.257023428703,"GI-5","Interstadial","ThermoMediterranean","Mediterranean"
51.3342721687781,41.0350408719173,64.2184689744422,165.13441032953,132.003376904867,206.580877809924,216.336649684275,172.932874799522,270.634175548594,114.863890553951,91.8186670318771,143.693148459772,"GS-5","Stadial","ThermoMediterranean","Mediterranean"
30.1149315497443,23.6054583309373,38.4194659358591,153.730128565474,120.500693752789,196.12295741003,174.672734295872,136.916464318083,222.840724512973,354.897516317887,278.184877138335,452.76453696644,"GI-13","Interstadial","MesoMediterranean","Mediterranean"
30.2910707662684,23.7304480616321,38.6654717089221,154.629280680661,121.138738947656,197.378762991336,175.694377613114,137.641430203638,224.267608082756,356.973276323096,279.657852260845,455.66365821185,"GS-13","Stadial","MesoMediterranean","Mediterranean"
27.4426998924818,21.6864155407159,34.7268904801204,140.088971335908,110.704400695437,177.273168606401,159.173246625611,125.785625423595,201.423035072694,323.405883118523,255.569400864304,409.248387647178,"GI-12","Interstadial","MesoMediterranean","Mediterranean"
