"Biomass","Phase","Region","Size"
213.50844379171,"GI-5","Eurosiberian","Medium-Large"
158.558813093197,"GS-5","Eurosiberian","Medium-Large"
235.719156841619,"GI-13","ThermoMediterranean","Medium-Large"
217.041620913766,"GS-13","ThermoMediterranean","Medium-Large"
189.139105985527,"GI-12","ThermoMediterranean","Medium-Large"
183.737253756902,"GS-12","ThermoMediterranean","Medium-Large"
239.096236239724,"GI-11","ThermoMediterranean","Medium-Large"
241.153307136791,"GS-11","ThermoMediterranean","Medium-Large"
229.006507502019,"GI-10","ThermoMediterranean","Medium-Large"
229.484136229899,"GS-10","ThermoMediterranean","Medium-Large"
222.941836850128,"GI-9","ThermoMediterranean","Medium-Large"
232.236025218511,"GS-9","ThermoMediterranean","Medium-Large"
219.868064604148,"GI-8","ThermoMediterranean","Medium-Large"
224.008679324511,"GS-8","ThermoMediterranean","Medium-Large"
222.586547198792,"GI-7","ThermoMediterranean","Medium-Large"
208.160824779398,"GS-7","ThermoMediterranean","Medium-Large"
213.172431419057,"GI-6","ThermoMediterranean","Medium-Large"
200.076009792889,"GS-6","ThermoMediterranean","Medium-Large"
243.944422869686,"GI-5","ThermoMediterranean","Medium-Large"
216.336649684275,"GS-5","ThermoMediterranean","Medium-Large"
174.672734295872,"GI-13","MesoMediterranean","Medium-Large"
175.694377613114,"GS-13","MesoMediterranean","Medium-Large"
159.173246625611,"GI-12","MesoMediterranean","Medium-Large"
139.656199723159,"GS-12","MesoMediterranean","Medium-Large"
186.80389697043,"GI-11","MesoMediterranean","Medium-Large"
172.399850375749,"GS-11","MesoMediterranean","Medium-Large"
181.542240942694,"GI-10","MesoMediterranean","Medium-Large"
163.240301471973,"GS-10","MesoMediterranean","Medium-Large"
184.646196483415,"GI-9","MesoMediterranean","Medium-Large"
168.112745713477,"GS-9","MesoMediterranean","Medium-Large"
206.02428458805,"GI-8","MesoMediterranean","Medium-Large"
199.896921443769,"GS-8","MesoMediterranean","Medium-Large"
204.487479229354,"GI-7","MesoMediterranean","Medium-Large"
200.630952465429,"GS-7","MesoMediterranean","Medium-Large"
237.803691535019,"GI-6","MesoMediterranean","Medium-Large"
198.525006065422,"GS-6","MesoMediterranean","Medium-Large"
256.567788357501,"GI-5","MesoMediterranean","Medium-Large"
235.907802883654,"GS-5","MesoMediterranean","Medium-Large"
147.508899770862,"GI-13","SubMediterranean","Medium-Large"
121.345915533276,"GS-13","SubMediterranean","Medium-Large"
129.558170964493,"GI-12","SubMediterranean","Medium-Large"
69.5084582863366,"GS-12","SubMediterranean","Medium-Large"
142.657082670571,"GI-11","SubMediterranean","Medium-Large"
